email_idx,latency_ms,label
0,84.2855,0
1,249.8672,0
2,121.2904,0
3,62.7164,0
4,42.5979,0
5,39.4108,0
6,45.449,1
7,46.0751,0
8,44.2453,0
9,42.9952,0
10,40.3662,0
11,37.9718,1
12,39.996,0
13,37.9467,0
14,38.2334,1
15,38.5319,0
16,38.9706,0
17,38.4638,0
18,38.4194,0
19,39.3023,1
20,40.283,0
21,39.3027,0
22,39.6554,0
23,39.2114,0
24,40.6248,0
25,38.3004,0
26,39.3571,0
27,37.6743,0
28,34.9751,1
29,34.3413,0
30,36.5516,0
31,39.2315,1
32,36.9554,1
33,42.0069,1
34,41.2131,0
35,42.5061,1
36,40.8602,0
37,41.5261,1
38,40.7973,0
39,41.1853,0
40,39.9348,1
41,40.937,0
42,39.836,1
43,42.0486,0
44,50.1507,1
45,46.5062,1
46,44.8128,0
47,43.369,0
48,41.5573,0
49,47.4415,0
50,41.2541,0
51,39.9025,0
52,39.9531,0
53,40.7571,0
54,49.5969,0
55,55.0332,0
56,52.9875,0
57,42.3737,0
58,41.6906,0
59,40.9222,1
60,43.0496,1
61,39.5302,1
62,42.6528,0
63,41.6909,0
64,41.7275,0
65,41.6295,0
66,39.9533,0
67,40.5159,1
68,44.5699,0
69,39.8277,0
70,42.5417,0
71,44.3095,1
72,41.4005,0
73,36.9148,0
74,39.5328,0
75,34.8433,0
76,37.8561,0
77,41.505,0
78,40.8596,1
79,38.8216,0
80,37.9684,0
81,37.9924,0
82,37.3214,0
83,36.2148,0
84,34.786,0
85,35.0937,0
86,35.7598,1
87,36.4989,1
88,35.2235,0
89,36.8538,1
90,35.7854,0
91,33.5137,0
92,34.8687,0
93,37.7423,1
94,35.7058,1
95,35.8382,0
96,33.9226,0
97,36.1308,0
98,34.9901,1
99,36.9184,0
100,37.0731,0
101,36.7045,0
102,37.971,1
103,36.3798,1
104,41.5971,0
105,39.8888,0
106,40.2952,0
107,38.3964,0
108,35.9829,0
109,37.1846,0
110,40.1339,1
111,37.6712,1
112,36.4194,0
113,36.8229,0
114,38.8833,0
115,36.4581,0
116,36.2123,0
117,33.5262,0
118,34.5758,0
119,36.9022,0
120,37.5634,0
121,35.3514,1
122,35.1647,0
123,34.0132,0
124,34.5497,0
125,33.6075,0
126,36.9533,0
127,35.7406,0
128,38.5112,0
129,36.3999,0
130,39.8896,1
131,37.0786,0
132,37.803,0
133,39.2794,0
134,39.8768,0
135,42.2657,1
136,40.5232,0
137,40.2455,0
138,38.5306,0
139,39.5728,1
140,36.9334,0
141,36.8673,0
142,36.5208,0
143,35.4701,1
144,36.0978,0
145,38.5572,0
146,36.2799,0
147,39.2544,0
148,38.1466,0
149,36.418,0
150,36.095,0
151,36.7558,0
152,38.3403,0
153,36.8512,1
154,36.4655,1
155,36.3988,0
156,39.6158,1
157,40.1129,1
158,40.4831,0
159,36.1726,0
160,35.7908,0
161,36.3657,0
162,36.282,0
163,38.8753,0
164,39.161,0
165,37.8936,0
166,40.4141,1
167,40.97,0
168,39.2748,1
169,38.0877,0
170,36.9167,0
171,40.6719,0
172,39.2059,0
173,39.0641,1
174,43.5668,0
175,39.895,0
176,39.3066,0
177,38.9953,0
178,40.1333,0
179,39.4908,0
180,39.9868,0
181,49.0485,1
182,40.9389,0
183,44.1443,0
184,43.5883,1
185,41.9629,1
186,36.9521,0
187,35.2201,0
188,37.2528,1
189,37.0286,0
190,34.7001,0
191,63.8808,0
192,61.6027,0
193,34.7901,0
194,35.3047,0
195,35.0366,0
196,35.1707,0
197,35.2892,1
198,36.0797,1
199,35.3774,0
200,36.6337,0
201,35.1865,0
202,35.6665,1
203,37.6361,0
204,39.0817,0
205,41.8565,0
206,42.8207,0
207,39.916,0
208,40.0361,1
209,40.5522,0
210,38.9129,0
211,37.7795,0
212,36.5117,0
213,38.6801,1
214,35.6626,0
215,36.2779,0
216,37.0065,1
217,37.1125,0
218,35.7542,0
219,34.5648,0
220,38.8709,0
221,38.045,1
222,37.0027,0
223,35.9888,1
224,36.9814,0
225,35.5459,1
226,36.1898,0
227,37.0277,0
228,38.4234,0
229,37.8706,0
230,37.2616,0
231,37.0664,0
232,40.6161,1
233,39.9354,0
234,37.0596,0
235,42.1562,0
236,37.9363,1
237,36.9457,1
238,36.1853,1
239,37.2865,0
240,35.4025,1
241,36.8513,0
242,35.2717,0
243,35.6287,0
244,35.6076,1
245,36.5248,1
246,37.8417,0
247,36.1762,0
248,36.0847,0
249,36.3699,0
250,36.4454,0
251,35.5749,0
252,37.8895,0
253,37.7316,0
254,36.6283,0
255,38.4154,0
256,38.5022,0
257,38.7247,0
258,39.5426,0
259,38.3226,0
260,36.9818,0
261,36.9846,0
262,39.5118,1
263,37.2445,0
264,34.5653,0
265,36.3354,0
266,36.1231,0
267,35.4747,0
268,36.3203,1
269,35.1919,1
270,34.3053,1
271,34.8683,0
272,36.2242,0
273,37.9274,0
274,35.4145,0
275,35.566,1
276,36.2448,0
277,36.0106,1
278,36.1786,0
279,35.8301,0
280,36.9611,0
281,37.7067,1
282,36.2204,1
283,38.0601,0
284,37.8542,0
285,38.2243,0
286,39.3621,0
287,42.2391,0
288,44.8912,0
289,42.1046,0
290,39.7279,1
291,41.1442,1
292,39.0587,0
293,36.8143,0
294,36.6948,0
295,38.275,0
296,39.8518,0
297,40.3711,0
298,41.6089,0
299,39.6484,0
300,40.9361,0
301,40.3619,0
302,38.8166,0
303,38.6978,1
304,41.1365,1
305,38.8117,0
306,36.2342,0
307,37.2662,1
308,40.6732,0
309,41.2859,0
310,41.5156,0
311,40.0021,0
312,38.6665,0
313,38.0621,0
314,35.9653,0
315,40.4124,0
316,41.15,0
317,41.111,1
318,38.419,0
319,38.7998,0
320,38.1291,0
321,36.0903,0
322,38.909,0
323,37.9621,0
324,38.1935,0
325,38.2515,0
326,36.7026,0
327,38.4099,1
328,38.4033,1
329,39.2024,0
330,42.6366,0
331,37.004,0
332,37.4698,0
333,40.0031,0
