email_idx,latency_ms,label
6,356.1544,1
11,210.8623,1
14,49.2457,1
19,43.7388,1
28,42.4402,1
31,43.0366,1
32,40.2867,1
33,42.1311,1
35,42.995,1
37,41.5149,1
40,46.0912,1
42,41.6301,1
44,45.7439,1
45,41.4654,1
59,40.7779,1
60,41.3297,1
61,43.2663,1
67,39.8894,1
71,41.507,1
78,40.6378,1
86,40.2841,1
87,37.7078,1
89,38.9711,1
93,37.724,1
94,40.093,1
98,40.8916,1
102,39.1652,1
103,37.4858,1
110,39.7945,1
111,39.7545,1
121,37.6745,1
130,37.921,1
135,40.1773,1
139,37.4361,1
143,38.4676,1
153,42.9729,1
154,40.7576,1
156,42.2149,1
157,39.2664,1
166,38.0326,1
168,38.7075,1
173,38.8974,1
181,40.2339,1
184,36.9033,1
185,42.0021,1
197,40.0754,1
198,41.5718,1
202,42.8276,1
208,37.9636,1
213,40.0597,1
216,41.5791,1
221,44.077,1
223,38.4324,1
225,40.3899,1
232,39.6509,1
236,40.701,1
237,43.4914,1
238,39.0447,1
240,37.9989,1
244,43.3517,1
245,41.9638,1
262,39.4474,1
268,38.8329,1
269,41.4705,1
270,40.2975,1
275,38.2588,1
277,37.8882,1
281,40.6887,1
282,38.1033,1
290,37.0201,1
291,39.338,1
303,37.7236,1
304,39.1351,1
307,37.3501,1
317,39.1985,1
327,40.9741,1
328,41.0383,1
340,38.0037,1
341,38.1337,1
342,38.4926,1
343,37.2396,1
344,39.8938,1
345,39.3279,1
347,38.2618,1
350,45.6345,1
351,42.1325,1
354,42.5655,1
365,40.2582,1
367,40.2074,1
371,40.833,1
372,40.7521,1
375,38.3482,1
388,38.251,1
392,37.7014,1
394,39.5472,1
395,38.135,1
398,38.631,1
400,39.2181,1
403,38.4333,1
405,40.0753,1
408,41.7199,1
411,39.4383,1
414,38.7613,1
416,38.9702,1
419,39.6865,1
424,39.189,1
427,37.5922,1
430,38.1005,1
441,41.5598,1
445,41.9822,1
452,43.192,1
453,42.4729,1
461,41.0295,1
463,39.6644,1
465,42.8778,1
475,41.7417,1
476,39.9358,1
487,39.1791,1
492,38.8109,1
496,39.1183,1
499,39.4439,1
506,39.2588,1
508,39.2012,1
511,40.1184,1
520,39.3898,1
521,41.1479,1
528,39.1712,1
531,38.7653,1
532,42.9284,1
536,41.1922,1
544,39.9524,1
552,39.5146,1
557,44.8048,1
560,43.6507,1
563,43.7259,1
568,39.5362,1
574,38.4964,1
575,41.3027,1
586,38.1297,1
593,39.3627,1
600,39.0247,1
601,38.971,1
610,40.6464,1
617,40.3294,1
618,38.1769,1
620,38.9632,1
623,37.9334,1
624,39.6481,1
626,38.1768,1
631,37.3189,1
632,40.311,1
637,37.9148,1
638,40.7653,1
642,39.1377,1
643,42.5759,1
645,39.3314,1
648,40.1626,1
655,44.0716,1
657,38.9439,1
659,38.884,1
663,40.4177,1
668,38.854,1
676,38.4906,1
688,40.905,1
691,42.4465,1
695,42.8964,1
696,41.9167,1
698,44.314,1
702,40.6955,1
711,40.9375,1
730,37.1262,1
731,39.6529,1
734,38.9254,1
735,39.7357,1
739,40.2081,1
741,39.27,1
745,40.4198,1
753,39.0834,1
755,39.8093,1
756,39.2266,1
758,38.7429,1
761,46.4625,1
764,44.3666,1
768,39.9285,1
772,38.9092,1
773,40.3908,1
784,38.5089,1
788,40.086,1
793,40.0671,1
801,39.4809,1
805,39.7679,1
806,40.8542,1
807,37.4242,1
812,41.1649,1
816,40.3829,1
820,40.4204,1
825,38.7047,1
828,41.0018,1
829,39.3551,1
832,38.2064,1
833,39.601,1
846,38.0001,1
850,39.7164,1
858,38.8103,1
859,37.7528,1
871,42.8808,1
873,40.9591,1
875,41.9585,1
878,38.6399,1
879,41.05,1
883,38.4775,1
884,38.7267,1
886,41.8083,1
888,38.4211,1
891,40.9662,1
894,40.1861,1
900,37.7036,1
902,39.4436,1
903,39.4091,1
923,42.1715,1
924,41.9348,1
925,40.2068,1
927,40.768,1
932,37.8915,1
938,41.871,1
939,39.8495,1
941,39.3979,1
949,40.4855,1
952,39.3263,1
953,40.1348,1
955,45.0715,1
959,42.5518,1
967,39.2611,1
975,37.7791,1
976,42.0397,1
979,38.9159,1
983,41.6079,1
992,43.9663,1
1001,37.7376,1
1004,39.1684,1
1009,37.0602,1
1013,38.4274,1
1014,39.5165,1
1017,40.3508,1
1024,39.2441,1
1028,39.8122,1
1033,38.2713,1
1036,41.0358,1
1041,37.5697,1
1055,40.6605,1
1056,38.6814,1
1057,40.0343,1
1059,36.7693,1
1060,37.468,1
1064,39.6084,1
1066,41.4502,1
1068,38.5873,0
1073,90.0031,1
1074,47.877,1
1076,39.0706,1
1078,42.0731,1
1082,39.6231,1
1086,38.085,1
1091,40.4213,1
1095,38.6921,1
1099,38.4659,1
1107,39.8179,1
1115,39.6018,1
1118,39.1834,1
1123,40.0322,1
1125,37.695,1
1142,40.3556,0
1144,39.3577,1
1145,40.8425,1
1146,43.8703,1
1149,42.8801,1
1153,41.1191,1
1163,44.9818,1
1169,44.9876,1
1171,38.6558,1
1180,42.4333,1
1181,40.4273,1
1183,39.9744,1
1184,37.5447,1
1185,40.6028,1
1189,39.4536,1
1197,38.4034,1
1201,39.0922,1
1208,37.8102,1
1214,40.2403,1
1221,39.3863,1
1223,37.7806,1
1238,40.6112,1
1246,38.7301,1
1250,40.5689,1
1251,37.9348,1
1256,38.1874,1
1259,39.7193,1
1263,42.0716,1
1270,50.2569,1
1273,42.2209,1
1285,42.9267,1
1290,47.8993,1
1293,44.5896,1
1294,42.2365,1
1301,41.202,1
1310,42.1474,1
1315,42.9565,1
1316,40.9563,1
1331,42.5473,1
1332,43.2484,1
1334,40.9765,1
1338,41.3732,1
1341,39.684,1
1343,41.0477,1
1349,41.3316,1
1350,42.6592,1
1351,40.9797,1
1352,41.4012,1
1362,39.64,1
1365,41.2483,1
1368,44.4386,1
1369,41.3717,1
1381,42.6806,1
1401,39.8728,1
1404,50.4484,1
1411,46.7404,1
1414,43.1712,1
1415,43.9995,1
1422,41.0239,1
1429,40.568,1
1431,41.6445,1
1435,39.0612,1
1455,40.2015,1
1458,40.2107,1
1462,38.4656,1
1472,40.4784,1
1474,39.7934,1
1475,41.6621,1
1479,44.3429,1
1480,45.7562,1
1482,43.167,1
1484,51.9053,1
1489,45.9263,1
1492,48.3355,1
1494,47.2384,1
1495,44.0054,1
1497,46.5179,1
1498,43.5865,1
1501,44.7083,1
1502,40.8966,1
1504,45.7673,1
1508,44.8975,1
1511,41.1415,1
1512,41.0866,1
1513,44.4813,1
1514,44.9865,1
1516,43.723,1
1518,44.3206,1
1532,45.7503,1
1534,45.4092,1
1537,43.8135,1
1538,42.6646,1
1542,42.4643,1
1550,43.3608,1
1570,44.1778,1
1573,44.451,1
1577,42.5066,1
1586,43.2864,1
1588,50.2921,1
1602,44.4005,1
1603,42.8802,1
1604,41.3177,1
1605,39.9578,1
1607,40.2861,1
1608,38.0545,1
1610,45.5665,1
1611,40.6206,1
1613,42.2106,1
1614,41.6134,1
1617,37.5708,1
1631,38.1638,1
1635,39.5157,1
1642,40.4495,1
1649,37.9463,1
1657,37.6295,1
1660,38.5276,1
1661,36.4782,1
1664,38.0126,1
1665,37.5395,1
1668,38.9383,1
1672,41.6909,1
1677,42.616,1
1683,43.9532,1
1690,42.3807,1
1691,38.8214,1
1696,38.5617,1
1700,39.6192,1
1703,39.3402,1
1704,39.6969,1
1706,41.3417,1
1710,39.0601,1
1715,39.1637,1
1718,38.4575,1
1719,40.149,1
1742,40.8919,1
1743,38.4885,1
1744,38.397,1
1747,40.175,1
1750,38.3998,1
1754,37.9493,1
1757,39.3865,1
1762,38.0927,1
1763,37.222,1
1766,39.4386,1
1767,39.2294,1
1770,39.3221,1
1775,39.9724,1
1783,48.9461,1
1785,42.0392,1
1798,41.2616,1
1808,38.7034,1
1811,37.9421,1
1815,38.9472,1
1816,38.9099,1
1822,38.7173,1
1824,42.1235,1
1825,38.5747,1
1827,37.8826,1
1835,38.798,1
1839,39.3342,0
1840,40.7496,1
1847,42.2387,1
1850,43.8636,1
1852,41.5879,1
1857,40.4067,1
1864,38.5097,1
1867,39.684,1
1871,37.732,1
1876,41.8922,1
1882,38.3754,1
1885,38.0457,1
1889,43.1318,1
1891,43.3826,1
1896,40.16,1
1904,38.3544,1
1905,41.0344,1
1910,39.229,1
1920,38.9898,1
1930,39.7598,1
1931,37.6345,1
1941,40.0358,1
1948,37.9338,1
1957,38.7373,1
1969,40.9148,1
1970,37.6577,1
1977,40.0878,1
1985,39.2844,1
1992,38.6789,1
1996,38.9629,1
2001,40.3494,1
2003,39.5011,1
2013,40.0535,1
2017,40.6508,1
2031,37.3507,1
2039,40.0829,0
2045,39.6425,1
2051,46.04,1
2059,41.7197,1
2067,43.3416,1
2069,39.9827,1
2074,39.3495,1
2082,38.2961,1
2085,41.0586,1
2086,40.3526,1
2090,40.2878,1
2092,40.9348,1
2093,40.7872,1
2094,39.3546,1
2101,38.5799,1
2103,45.5325,1
2104,39.8216,1
2106,39.4247,1
2108,39.3019,1
2111,39.6266,1
2114,38.7771,1
2115,42.3226,1
2128,43.9041,1
2136,41.7383,1
2144,41.2709,1
2155,40.051,1
2158,45.1824,1
2161,42.3903,1
2162,38.8332,1
2163,38.1338,1
2168,40.7598,1
2176,37.9551,1
2178,43.0335,1
2179,38.2146,1
2180,39.4546,1
2185,40.9515,1
2190,39.2236,1
2191,40.546,1
2194,38.6349,1
2208,38.997,1
2214,39.6672,1
2215,39.4124,1
2216,36.9595,1
2218,40.7494,1
2221,37.4258,1
2223,37.5968,1
2225,40.694,1
2227,40.4411,1
2232,42.4216,1
2233,37.2339,1
2237,103.6949,1
2238,55.5183,1
2242,39.3988,1
2246,40.2173,1
2248,40.9644,0
2255,38.8425,1
2260,37.5858,1
2262,39.1548,1
2271,38.778,1
2282,40.3667,1
2283,38.4311,1
2288,38.1547,1
2293,42.5922,1
2295,37.0081,1
2300,38.3656,1
2302,38.0166,1
2311,38.7418,1
2315,42.6078,1
2316,39.8104,1
2325,40.0467,1
2331,38.1361,1
2338,38.9304,1
2353,38.3561,1
2354,44.6804,1
2361,40.6792,1
2364,42.3966,1
2369,42.3318,1
2373,45.3901,1
2381,38.225,1
2390,40.3512,1
2401,40.7858,1
2402,39.2552,1
2406,42.1841,1
2410,39.0441,1
2415,39.8219,1
2417,41.379,1
2425,38.1484,1
